"date","close","volume","open","high","low"
"2018/06/05","1696.3500","4733275.0000","1672.9900","1699.0000","1670.0600"
"2018/06/04","1665.2700","3178387.0000","1648.9000","1665.6800","1645.4900"
"2018/06/01","1641.5400","3302466.0000","1637.0300","1646.7299","1635.0900"
"2018/05/31","1629.6200","3157622.0000","1623.0000","1635.0000","1621.3500"
"2018/05/30","1624.8900","2892704.0000","1618.1000","1626.0000","1612.9300"
"2018/05/29","1612.8700","3837381.0000","1600.7090","1621.7900","1600.1500"
"2018/05/25","1610.1500","2624784.0000","1603.0000","1614.1200","1600.4474"
"2018/05/24","1603.0700","3383788.0000","1598.0300","1608.2400","1588.3800"
"2018/05/23","1601.8600","3348540.0000","1571.0500","1601.8600","1566.3400"
"2018/05/22","1581.4000","2053733.0000","1589.8900","1589.8900","1575.2500"
"2018/05/21","1585.4600","2840655.0000","1585.0000","1592.0500","1575.0000"
"2018/05/18","1574.3700","2612564.0000","1581.3300","1583.5903","1572.1000"
"2018/05/17","1581.7600","2131238.0000","1580.5600","1594.0400","1573.0000"
"2018/05/16","1587.2800","2535458.0000","1577.5000","1594.4300","1576.6700"
"2018/05/15","1576.1200","5066420.0000","1587.8047","1587.8047","1565.2201"
"2018/05/14","1601.5400","2460302.0000","1604.0000","1611.1800","1600.0500"
"2018/05/11","1602.9100","2258583.0000","1610.9900","1611.1000","1597.8910"
"2018/05/10","1609.0800","2785394.0000","1608.4750","1615.6000","1603.4400"
"2018/05/09","1608.0000","3628661.0000","1600.0000","1608.0000","1592.0000"
"2018/05/08","1592.3900","3033526.0000","1595.0000","1596.8800","1582.5100"
"2018/05/07","1600.1400","3793376.0000","1589.3370","1606.9490","1587.8300"
"2018/05/04","1580.9500","3414088.0000","1562.4500","1584.9000","1562.1900"
"2018/05/03","1572.0750","4235885.0000","1560.0100","1574.8000","1546.0200"
"2018/05/02","1569.6800","4252230.0000","1580.9800","1588.4992","1566.3600"
"2018/05/01","1582.2600","4551661.0000","1563.2200","1585.0000","1552.1800"
"2018/04/30","1566.1300","5421282.0000","1582.5000","1596.0000","1560.9410"
"2018/04/27","1572.6200","13025430.0000","1634.0100","1638.1000","1567.3860"
"2018/04/26","1517.9600","8309864.0000","1485.0100","1529.4200","1478.5000"
"2018/04/25","1460.1700","6365989.0000","1458.0000","1469.9900","1415.0200"
"2018/04/24","1460.0900","7470059.0000","1535.8000","1539.5000","1448.4475"
"2018/04/23","1517.8600","4447801.0000","1546.6947","1548.0000","1503.4103"
"2018/04/20","1527.4900","5520642.0000","1561.1999","1561.1999","1516.0930"
"2018/04/19","1556.9100","6483967.0000","1543.2200","1568.5200","1539.0600"
"2018/04/18","1527.8400","5091677.0000","1514.6500","1533.8000","1504.1100"
"2018/04/17","1503.8300","5008532.0000","1462.2950","1507.1900","1457.0219"
"2018/04/16","1441.5000","2773836.0000","1445.0000","1447.0000","1427.4800"
"2018/04/13","1430.7900","3637586.0000","1449.1360","1459.7808","1424.5200"
"2018/04/12","1448.5000","3116939.0000","1439.5000","1452.1200","1435.0600"
"2018/04/11","1427.0500","3544449.0000","1439.4400","1448.7758","1424.8900"
"2018/04/10","1436.2200","4258358.0000","1431.9900","1438.3800","1415.7000"
"2018/04/09","1406.0800","4193564.0000","1425.0300","1438.4800","1402.5710"
"2018/04/06","1405.2300","5838758.0000","1429.9700","1452.5020","1400.2600"
"2018/04/05","1451.7500","6305513.0000","1441.9900","1459.5575","1427.0700"
"2018/04/04","1410.5700","6942485.0000","1358.2400","1415.3900","1352.8800"
"2018/04/03","1392.0500","10212940.0000","1391.3800","1414.0000","1355.3300"
"2018/04/02","1371.9900","10432560.0000","1417.6200","1421.3580","1355.0000"
"2018/03/29","1447.3400","12570020.0000","1406.0000","1455.4700","1365.2000"
"2018/03/28","1431.4200","13680370.0000","1447.0000","1455.9000","1386.1700"
"2018/03/27","1497.0500","6887274.0000","1572.4000","1575.9650","1482.3200"
"2018/03/26","1555.8600","5592200.0000","1530.0000","1556.9900","1499.2500"
"2018/03/23","1495.5600","7977655.0000","1539.0100","1549.0200","1495.3600"
"2018/03/22","1544.9200","6213379.0000","1565.4700","1573.8500","1542.4000"
"2018/03/21","1581.8600","4740884.0000","1586.4500","1590.0000","1563.1700"
"2018/03/20","1586.5100","4554675.0000","1550.3400","1587.0000","1545.4100"
"2018/03/19","1544.9300","6406413.0000","1554.5300","1561.6600","1525.3500"
"2018/03/16","1571.6800","5291848.0000","1583.4500","1589.4400","1567.5000"
"2018/03/15","1582.3200","4057694.0000","1595.0000","1596.9100","1578.1100"
"2018/03/14","1591.0000","4236655.0000","1597.0000","1606.4440","1590.8900"
"2018/03/13","1588.1800","6514336.0000","1615.9600","1617.5400","1578.0100"
"2018/03/12","1598.3900","5146149.0000","1592.6000","1605.3300","1586.7000"
"2018/03/09","1578.8900","4508650.0000","1563.5000","1578.9400","1559.0800"
"2018/03/08","1551.8600","3882904.0000","1550.0000","1554.8800","1545.2500"
"2018/03/07","1545.0000","4164829.0000","1526.5200","1545.9000","1522.5100"
"2018/03/06","1537.6400","4433105.0000","1533.2000","1542.1300","1528.0000"
"2018/03/05","1523.6100","5192119.0000","1494.2400","1525.3800","1481.0000"
