"date","close","volume","open","high","low"
"2018/06/05","102.1900","23484820.0000","102.0000","102.3300","101.5300"
"2018/06/04","101.6700","27173310.0000","101.2600","101.8600","100.8510"
"2018/06/01","100.7900","28615930.0000","99.2800","100.8600","99.1700"
"2018/05/31","98.8400","34117650.0000","99.2900","99.9900","98.6100"
"2018/05/30","98.9500","21899560.0000","98.3100","99.2500","97.9100"
"2018/05/29","98.0100","28395290.0000","97.8400","98.8800","97.2300"
"2018/05/25","98.3600","17942630.0000","98.3000","98.9800","97.8600"
"2018/05/24","98.3100","26637580.0000","98.7250","98.9400","96.8100"
"2018/05/23","98.6600","21119770.0000","96.7100","98.7300","96.3200"
"2018/05/22","97.5000","15438990.0000","97.6800","98.1700","97.2000"
"2018/05/21","97.6000","18996380.0000","97.0000","98.0100","96.8000"
"2018/05/18","96.3600","17543940.0000","96.0100","96.9300","96.0100"
"2018/05/17","96.1800","17167840.0000","96.7600","97.5401","95.8300"
"2018/05/16","97.1500","17371190.0000","97.3600","97.4000","96.6150"
"2018/05/15","97.3200","24584910.0000","97.2400","97.8500","96.3400"
"2018/05/14","98.0300","19447690.0000","97.9200","98.6900","97.3100"
"2018/05/11","97.7000","16759750.0000","97.8000","97.8700","97.0400"
"2018/05/10","97.9100","22341300.0000","97.4600","97.9500","97.0500"
"2018/05/09","96.9400","27279420.0000","96.0100","96.9700","95.0500"
"2018/05/08","95.8100","22764250.0000","95.8456","96.1600","95.0631"
"2018/05/07","96.2200","23591080.0000","95.1700","96.7100","95.1000"
"2018/05/04","95.1600","22243660.0000","93.3200","95.3700","92.9200"
"2018/05/03","94.0700","31071660.0000","92.9600","94.9250","92.4500"
"2018/05/02","93.5100","27459080.0000","94.9900","95.1700","93.1900"
"2018/05/01","95.0000","31400270.0000","93.2100","95.2900","92.7900"
"2018/04/30","93.5200","41196050.0000","96.3300","96.3964","93.1500"
"2018/04/27","95.8200","48037250.0000","97.6000","97.9000","93.9100"
"2018/04/26","94.2600","41085820.0000","93.5500","95.1500","93.1000"
"2018/04/25","92.3100","33622300.0000","93.3000","93.3000","90.2800"
"2018/04/24","93.1200","34495820.0000","96.2420","96.4700","92.4100"
"2018/04/23","95.3500","22243560.0000","95.7440","96.2900","94.6300"
"2018/04/20","95.0000","31135830.0000","95.9100","96.1100","94.0500"
"2018/04/19","96.1100","23540730.0000","96.4400","97.0700","95.3400"
"2018/04/18","96.4400","21024010.0000","96.2200","96.7200","95.5200"
"2018/04/17","96.0700","25700050.0000","95.0000","96.5400","94.8800"
"2018/04/16","94.1700","20278000.0000","94.0700","94.6600","93.4200"
"2018/04/13","93.0800","23332360.0000","94.0500","94.1800","92.4400"
"2018/04/12","93.5800","26684870.0000","92.4300","94.1600","92.4300"
"2018/04/11","91.8600","24849510.0000","92.0100","93.2900","91.4800"
"2018/04/10","92.8800","26885740.0000","92.3900","93.2800","91.6400"
"2018/04/09","90.7700","31508070.0000","91.0400","93.1700","90.6200"
"2018/04/06","90.2300","37809230.0000","91.4900","92.4600","89.4800"
"2018/04/05","92.3800","29686720.0000","92.4350","93.0650","91.4000"
"2018/04/04","92.3300","35479140.0000","87.8500","92.7600","87.7300"
"2018/04/03","89.7100","37188830.0000","89.5750","90.0500","87.8900"
"2018/04/02","88.5200","48473940.0000","90.4700","90.8800","87.5100"
"2018/03/29","91.2700","45763610.0000","90.1800","92.2900","88.4000"
"2018/03/28","89.3900","52235580.0000","89.8200","91.2300","88.8730"
"2018/03/27","89.4700","55091770.0000","94.9400","95.1390","88.5100"
"2018/03/26","93.7800","56261750.0000","90.6100","94.0000","90.4000"
"2018/03/23","87.1800","43857770.0000","89.5000","90.4600","87.0800"
"2018/03/22","89.7900","38354400.0000","91.2650","91.7500","89.6600"
"2018/03/21","92.4800","24173600.0000","92.9300","94.0500","92.2100"
"2018/03/20","93.1300","22402330.0000","93.0500","93.7700","93.0000"
"2018/03/19","92.8900","32317260.0000","93.7400","93.9000","92.1100"
"2018/03/16","94.6000","49067150.0000","94.6800","95.3800","93.9200"
"2018/03/15","94.1800","27317810.0000","93.5300","94.5800","92.8300"
"2018/03/14","93.8500","31971520.0000","95.1200","95.4100","93.5000"
"2018/03/13","94.4100","34794600.0000","97.0000","97.2400","93.9700"
"2018/03/12","96.7700","26042460.0000","96.5000","97.2100","96.0400"
"2018/03/09","96.5400","36913460.0000","95.2900","96.5400","95.0000"
"2018/03/08","94.4300","26957790.0000","94.2700","95.1000","93.7650"
"2018/03/07","93.8600","26458530.0000","93.1600","93.9406","92.4300"
"2018/03/06","93.3200","21884540.0000","94.3400","94.4900","92.9410"
"2018/03/05","93.6400","23787950.0000","92.3400","94.2700","92.2600"
